slang,formal
"Lagi gabut, enaknya ngapain ya?","Sedang tidak ada kerjaan, enaknya melakukan apa ya?"
"Dasar bucin, apa aja dilakuin buat doi","Dasar budak cinta, apa saja dilakukan untuk dia"
Komuk lo kenapa asem gitu?,Kondisi mukamu mengapa masam begitu?
Monmaap nih kalo ganggu waktunya,Mohon maaf ya kalau mengganggu waktunya
Tengkyu banget udah dibantuin,Terima kasih sekali sudah dibantu
"GWS ya bro, biar cepet maen lagi","Semoga lekas sembuh ya kawan, agar cepat bermain lagi"
"HBD buat lo, semoga panjang umur","Selamat ulang tahun untukmu, semoga panjang umur"
"SBB, tadi lagi di jalan","Maaf baru balas, tadi sedang di jalan"
WDYM? Gw gak ngerti maksud lo,Maksud kamu apa? Saya tidak mengerti maksudmu
Maap ada typo di chat tadi,Maaf ada salah ketik di pesan tadi
Gw masih noob nih main Mobile Legend,Saya masih pemula bermain Mobile Legend
Dia udah pro player Dota dari dulu,Dia sudah pemain profesional Dota dari dulu
"Mabar kuy malem ini, push rank","Main bareng yuk malam ini, menaikkan peringkat"
"Ngab, pinjem seratus dulu dong","Bang, pinjam seratus ribu dulu dong"
"Guys, kumpul di tempat biasa ya","Teman-teman, berkumpul di tempat biasa ya"
Dia itu bestie gw dari SMP,Dia itu sahabat dekatku dari SMP
Liat postingannya bikin cringe parah,Melihat unggahannya membuat merasa sangat aneh/jijik
Weekend ini mau healing ke gunung,Akhir pekan ini mau liburan memulihkan diri ke gunung
Suka insecure kalo liat orang lain,Suka merasa tidak percaya diri kalau melihat orang lain
Literally gw gak bisa idup tanpa kopi,Secara harfiah saya tidak bisa hidup tanpa kopi
Gw prefer teh daripada kopi,Saya lebih suka teh daripada kopi
Pengorbanan lo worth it kok,Pengorbananmu sepadan kok
"Jangan clingy gitu, kasih dia ruang","Jangan terlalu bergantung begitu, beri dia ruang"
Tiba-tiba dia ghosting tanpa alesan,Tiba-tiba dia menghilang tanpa alasan
"Komennya salty bener, pasti iri dia","Komentarnya penuh kekesalan, pasti iri dia"
Spill the tea dong soal anak baru itu,Bocorkan gosip dong soal anak baru itu
Gerak-geriknya kok sus ya,Gerak-geriknya kok mencurigakan ya
Tempat ini vibesnya enak buat nugas,Tempat ini suasananya enak untuk mengerjakan tugas
"YGY, jangan lupa bawa kado besok","Ya teman-teman ya, jangan lupa bawa kado besok"
"TBL, ada kecoa terbang!","Takut sekali Loh, ada kecoa terbang!"
"Dia anaknya nolep banget, jarang keluar","Dia anaknya tidak punya kehidupan sosial sekali, jarang keluar"
Jangan caper deh di depan dosen,Jangan cari perhatian di depan dosen
"Ceritanya gaje banget, gak nyambung","Ceritanya tidak jelas sekali, tidak bersambung"
Jokes bapak-bapak suka jayus kadang,Lelucon bapak-bapak suka tidak lucu kadang
Penampilannya kamseupay abis,Penampilannya kampungan sekali udik payah
Langsung kicep pas ditanya guru,Langsung diam karena takut/malu saat ditanya guru
Kalo nyetir ugal-ugalan bisa modar,Kalau menyetir sembarangan bisa mati
Gayanya sekut juga tuh anak,Gayanya keren juga anak itu
Jadi tengsin sendiri gw salah ngomong,Jadi malu sendiri saya salah bicara
Mukanya bonyok abis berantem,Mukanya babak belur setelah berkelahi
Harga tas itu bisa nyampe cepekan,Harga tas itu bisa mencapai seratusan ribu
Jajan pake goceng juga udah kenyang,Jajan pakai lima ribu juga sudah kenyang
Parkir di sini bayar seceng,Parkir di sini bayar seribu
Malem minggu enaknya nongki di kafe,Malam minggu enaknya nongkrong di kafe
Pengen curhat tapi bingung ke siapa,Ingin curahan hati tapi bingung ke siapa
"Ngokey deh, gw setuju sama ide lo","Oke deh, saya setuju dengan idemu"
Tingkah lakunya malesin banget,Tingkah lakunya menyebalkan sekali
Jadi orang jangan songong gitu,Jadi orang jangan sombong begitu
"Jangan bokis, gw tau lo gak ngerjain","Jangan bohong, saya tahu kamu tidak mengerjakan"
"Cabs dulu ya, ada urusan mendadak","Pergi dulu ya, ada urusan mendadak"
Congratz ya udah jadi juara kelas,Selamat ya sudah jadi juara kelas
EGP lah dia mau mikir apa tentang gw,Emang Gue Pikirin lah dia mau berpikir apa tentang saya
"Fix ya, besok kita jadi berangkat","Pasti ya, besok kita jadi berangkat"
"Itu berita hoax, jangan dipercaya","Itu berita bohong, jangan dipercaya"
Kudu jaim kalo ketemu calon mertua,Harus jaga citra diri kalau bertemu calon mertua
Dia masih jomblo dari lahir katanya,Dia masih lajang dari lahir katanya
Mulutnya julid banget ngomentarin orang,Mulutnya pedas sekali mengomentari orang
Kamsahamnida udah ditraktir makan,Terima kasih sudah ditraktir makan
Komuk lo kenapa kusut gitu pagi ini?,Ekspresi wajahmu mengapa masam begitu pagi ini?
KZL nungguin balesan chat dari dia,Kesal menunggu balasan pesan darinya
Masakannya mantab surantab!,Masakannya mantap sekali!
Liat stand up comedy bikin ngabrut,Melihat komedi tunggal membuat tertawa terpingkal-pingkal
Jalannya agak ngok abis jatoh,Jalannya agak kaku setelah jatuh
"Udah pewe di depan TV, jangan ganggu","Sudah posisi nyaman di depan TV, jangan ganggu"
"Plis atuh euy, pinjem duit dulu","Tolong dong, pinjam uang dulu"
Anak kecil itu kebelet pupp,Anak kecil itu ingin buang air besar
"Filmnya saik banget, wajib nonton","Filmnya asyik sekali, wajib nonton"
Sefruit tips buat kamu yang lagi diet,Sebuah tips untuk kamu yang sedang diet
"Selow aja ngerjainnya, gak usah buru-buru","Santai saja mengerjakannya, tidak usah terburu-buru"
"Bagian yang gak penting, skipp aja","Bagian yang tidak penting, lewati saja"
"Gak usah sotil, ini bukan bidang lo","Tidak usah sok tahu ilmiah, ini bukan bidangmu"
"Akhirnya TGIF, bisa leyeh-leyeh","Syukurlah Hari Jumat, bisa bersantai-santai"
"Lagi unmood, jangan ajak gw ngomong","Sedang tidak bersemangat, jangan ajak saya bicara"
Udah usaha maksimal tapi hasilnya zonk,Sudah usaha maksimal tapi hasilnya gagal
Ciusan lo mau resign?,Serius kamu mau mengundurkan diri?
"Doku tinggal dikit, harus hemat","Uang tinggal sedikit, harus hemat"
Suka kepo-in status mantan,Suka mencari tahu status mantan
Ceritanya bikin LMAO sampe sakit perut,Ceritanya membuat tertawa terpingkal-pingkal sampai sakit perut
"Maaf ya gw AFK tadi, ada tamu","Maaf ya saya menjauh dari keyboard tadi, ada tamu"
Pertandingan tadi GGWP banget guys!,Pertandingan tadi bagus dan dimainkan dengan baik sekali teman-teman!
"""Makasih bantuannya."" ""NP bro.""","""Terima kasih bantuannya."" ""Tidak masalah kawan."""
"BRB ya, mau ke toilet dulu","Segera kembali ya, mau ke toilet dulu"
IDK kenapa dia bisa gitu,Saya tidak tahu mengapa dia bisa begitu
"IMO, lebih baik kita tunda dulu","Menurut pendapat saya, lebih baik kita tunda dulu"
"Di sosmed gayanya keren, IRL beda","Di media sosial gayanya keren, di kehidupan nyata berbeda"
"FYI aja nih, dia itu sepupu gw","Sebagai informasi saja, dia itu sepupuku"
Barangnya bisa COD gak sis?,Barangnya bisa bayar di tempat tidak kak?
Detailnya aku japri aja ya nanti,Detailnya aku kirim pesan pribadi saja ya nanti
"Candaan lo garing sumpah, gak lucu","Leluconmu tidak lucu sumpah, tidak lucu"
"Jangan kebanyakan halu, balik ke realita","Jangan kebanyakan berhalusinasi, kembali ke realitas"
Abis ujian butuh healing nih,Setelah ujian butuh liburan untuk memulihkan diri
"Fotonya narsis semua, gak ada yang bener","Fotonya menunjukkan percaya diri berlebihan semua, tidak ada yang benar"
Beli barang KW di olshop itu,Beli barang imitasi di toko daring itu
Dia pansos doang deketin si bos,Dia panjat sosial saja mendekati atasan
Cari PW dulu buat nugas biar fokus,Cari posisi yang sangat nyaman dulu untuk mengerjakan tugas agar fokus
"Bawaannya rempong amat, kayak mau pindahan","Bawaannya ribet sekali, seperti mau pindahan"
Musik jedag jedugnya sekut abis,Musik berdentumnya keren sekali
Kucing oren emang paling unyu,Kucing oranye memang paling lucu
"Hadapi masalah dengan woles, jangan panik","Hadapi masalah dengan santai, jangan panik"
Dia jadi bucin akut sejak pacaran,Dia jadi budak cinta akut sejak berpacaran
Hari Minggu gabut di rumah aja,Hari Minggu bosan tidak ada kerjaan di rumah saja
"Kalo udah mager, susah diajak kemana-mana","Kalau sudah malas bergerak, susah diajak ke mana-mana"
Monmaap lahir batin ya semuanya,Mohon maaf lahir dan batin ya semuanya
"Ngokey, besok kita ketemu jam segitu","Oke, besok kita bertemu jam sekian"
"Performanya ntaps, layak dapet tepuk tangan","Performanya mantap, layak dapat tepuk tangan"
Ngerjain soal ini sabi lah buat gw,Mengerjakan soal ini bisalah untuk saya
"Liat film horor sendirian, TBL!","Melihat film horor sendirian, Takut sekali Loh!"
"Yauds lah, gak usah diperpanjang","Ya sudah lah, tidak usah diperpanjang"
Akhir bulan gini dompet langsung bokek,Akhir bulan begini dompet langsung tidak punya uang
Liat dia sama pacar barunya bikin cringe,Melihat dia dengan pacar barunya membuat merasa aneh/jijik
Spill dong siapa yang menang arisan,Bocorkan dong siapa yang menang arisan
Dia di-ghosting pas lagi sayang-sayangnya,Dia ditinggalkan tanpa kabar saat sedang sayang-sayangnya
Gak usah salty gitu kalo tim lo kalah,Tidak usah kesal/iri begitu kalau timmu kalah
Kafe ini vibesnya syahdu banget buat galau,Kafe ini suasananya syahdu sekali untuk merasa galau
"Jangan lupa bahagia, YGY!","Jangan lupa bahagia, Ya Teman-teman Ya!"
Tugas ini harus selesai ASAP!,Tugas ini harus selesai secepatnya!
Pemandangan dari puncak goks parah!,Pemandangan dari puncak luar biasa sekali!
"Makan bakso kuy, lagi pengen nih","Makan bakso yuk, sedang ingin nih"
"Servisnya mantul, pelanggannya puas","Pelayanannya mantap betul, pelanggannya puas"
Gw akuin gw masih noob soal masak,Saya akui saya masih pemula soal memasak
Dia sih udah pro banget kalo soal desain,Dia sih sudah profesional sekali kalau soal desain
"Nikmatin aja prosesnya, woles...","Nikmati saja prosesnya, santai..."
"Ceweknya cans natural, gak pake makeup","Perempuannya cantik alami, tidak pakai riasan"
Itu cowok gans yang main film kan?,Itu laki-laki tampan yang bermain film kan?
"Anaknya gemoy, pipinya tembem","Anaknya menggemaskan, pipinya tembam"
Persahabatan kita persahabatan HQQ,Persahabatan kita persahabatan hakiki
Emang kids jaman now beda seleranya,Memang anak zaman sekarang berbeda seleranya
Dia suka curcol di status WhatsApp,Dia suka curhat colongan di status WhatsApp
"Jangan kelamaan galau, hidup terus berjalan","Jangan kelamaan bingung/sedih, hidup terus berjalan"
Nasib jones emang berat ya pas Valentine,Nasib jomblo merana memang berat ya saat Valentine
"Modusnya mau minjem duit, taunya nipu","Modus operandinya mau meminjam uang, ternyata menipu"
Meme receh gitu aja bisa viral,Gambar lucu murahan begitu saja bisa viral
Baru nonton trailer udah sotoy nebak ending,Baru menonton cuplikan sudah sok tahu menebak akhir cerita
Hati gw ambyar berkeping-keping,Hatiku hancur berkeping-keping
Gayanya selalu badai setiap saat,Gayanya selalu hebat setiap saat
"Dompet lagi ceper, tanggal tua bro","Dompet sedang tipis, tanggal tua kawan"
"Udah damai aja, gak usah diperpanjang","Sudah berdamai saja, tidak usah diperpanjang"
"Harganya edun, bikin kantong bolong","Harganya gila, membuat kantong kosong"
"Gece dong jalannya, keburu ditinggal","Gerak cepat dong jalannya, keburu ditinggal"
"""Kamu setuju?"" ""Hooh, setuju banget.""","""Kamu setuju?"" ""Iya, setuju sekali."""
Dengerin lagu jadul bikin nostalgia,Mendengarkan lagu zaman dulu membuat nostalgia
"Norak banget sih, katro!","Norak sekali sih, kampungan!"
Pasangan LDR butuh kepercayaan ekstra,Pasangan hubungan jarak jauh butuh kepercayaan ekstra
"Baju ini mehong, tapi kualitasnya bagus","Baju ini mahal, tapi kualitasnya bagus"
"Janjian jam 7, datengnya ngaret sejam","Janjian jam 7, datangnya terlambat satu jam"
"Udah PEWE nih di kasur, mager bangun","Sudah posisi sangat nyaman nih di kasur, malas bergerak bangun"
Si qepo itu nanyain gaji gw segala,Si ingin tahu itu menanyakan gajiku segala
Ngurus visa emang rempita prosesnya,Mengurus visa memang ribet prosesnya
"""Hebat banget lo!"" ""Sa ae lu kutil badak!""","""Hebat sekali kamu!"" ""Bisa saja kamu!"""
Kena tilang gara-gara gak pake helm,Kena bukti pelanggaran gara-gara tidak pakai helm
Bayi panda itu ucul maksimal,Bayi panda itu lucu maksimal
Performanya tadi malem wagelaseh!,Performanya tadi malam wah gila sih! (Luar biasa)
Jangan lupa kirim XOXO buat dia,Jangan lupa kirim cium dan peluk untuknya
"Abis begadang, bawaannya pengen Zzz","Setelah tidak tidur semalaman, bawaannya ingin tidur"
"Bund, masak apa hari ini buat si kecil?","Bunda, masak apa hari ini untuk si kecil?"
"Kelakuan dia tuh parah sih, bikin emosi","Kelakuannya itu keterlaluan, membuat emosi"
"Filmnya gajebo banget, alurnya gak karuan","Filmnya tidak jelas sekali, alurnya berantakan"
"Ngokey, gw otw sekarang juga","Oke, saya berangkat sekarang juga"
"Sans aja bro, jangan dibawa pusing","Santai saja kawan, jangan terlalu dipikirkan"
Kita kudu gercep biar gak ketinggalan kereta,Kita harus bergerak cepat agar tidak ketinggalan kereta
Liat kelakuannya bikin bengek nahan tawa,Melihat tingkahnya membuat sesak napas menahan tawa
"Ih, gelay banget liat video itu, cringe","Ih, geli sekali melihat video itu, memalukan/aneh"
"Speechless, pengen menangis liat kebaikannya","Tidak bisa berkata-kata, ingin menangis melihat kebaikannya"
"Hooh tenan, wingi aku weruh deke nang pasar","Iya benar, kemarin aku melihat dia di pasar"
Pokokmen kudu semangat terus lah ya,Pokoknya harus semangat terus ya
Jangan suka ngetroll di kolom komentar orang,Jangan suka memancing keributan di kolom komentar orang
Ngokak abis dengerin cerita lucunya,Tertawa terbahak-bahak setelah mendengar cerita lucunya
Jamber nih? Udah telat belom ya?,Jam berapa ini? Sudah terlambat belum ya?
Bapack-bapack kalo ngelawak suka gitu deh,Bapak-bapak kalau melucu suka begitu ya
"Ceweknya spek bidadari, cowoknya minder","Perempuannya berparas/berkualitas seperti bidadari, laki-lakinya merasa rendah diri"
Circle pertemanan kita emang solid banget,Lingkaran pertemanan kita memang sangat erat
Gw relate banget sama postingan lo itu,Saya merasa sangat terhubung/memahami unggahanmu itu
"Damage senyumannya gak ngotak, bikin meleleh","Efek senyumannya luar biasa, membuat terpesona"
"Jangan kebanyakan halu, fokus sama realita","Jangan kebanyakan berhalusinasi, fokus pada kenyataan"
Dia suka flexing harta orang tuanya di medsos,Dia suka memamerkan kekayaan orang tuanya di media sosial
"Abis ujan, jalannya becek, chuaks!","Setelah hujan, jalannya tergenang air, aduh!"
Random banget sih ide lo kali ini,Acak/tidak terduga sekali idemu kali ini
Lagi overthinking mikirin masa depan,Sedang berpikir berlebihan memikirkan masa depan
Liat kucing lucu langsung mleyot saking gemesnya,Melihat kucing lucu langsung lemas saking gemasnya
Malem ini nongs tipis-tipis aja di warteg,Malam ini nongkrong sebentar saja di warung tegal
"Anw, lo jadi dateng ke acara besok?","Ngomong-ngomong, kamu jadi datang ke acara besok?"
Maaf kalo komen gw OOT dikit,Maaf kalau komentarku sedikit di luar topik
"Jangan ngendok aja di base, bantu tim dong","Jangan berdiam diri saja di markas, bantu tim dong"
"Dia dapet julukan ""sepuh"" di komunitas game","Dia mendapat julukan ""senior"" di komunitas permainan"
Healing tipis-tipis ke curug udah cukup,Liburan singkat memulihkan diri ke air terjun sudah cukup
Kelakuan si cegil itu emang ada-ada aja,Kelakuan perempuan nyentrik itu memang ada-ada saja
"Gils, harganya murah pol!","Gila, harganya murah sekali!"
Cemungudh eaps buat ujiannya besok!,Semangat ya untuk ujiannya besok!
"Janlup bawa payung, cuaca lagi gak nentu","Jangan lupa bawa payung, cuaca sedang tidak menentu"
Mayan lah dapet diskonan pas belanja,Lumayan dapat potongan harga saat berbelanja
Monangis liat perjuangan dia,Mau menangis melihat perjuangannya
Ngabrut parah liat video parodinya,Tertawa terpingkal-pingkal parah melihat video parodinya
"Oalah, jadi gitu toh ceritanya","Oh, jadi begitu ya ceritanya"
"Plis jangan ganggu, lagi fokus nugas","Tolong jangan ganggu, sedang fokus mengerjakan tugas"
"Receh banget humor lo, tapi bikin ketawa","Humor kamu murahan sekali, tapi membuat tertawa"
Sabi kali ya kalo kita coba ide itu,Bisa jadi ya kalau kita coba ide itu
Sekut abis penampilan band tadi malam,Keren sekali penampilan grup musik tadi malam
Skip aja deh bagian yang boring itu,Lewati saja bagian yang membosankan itu
"Sotoy banget sih, kayak paling tau aja","Sok tahu sekali sih, seperti paling tahu saja"
Thanks God udah kelar juga akhirnya,Syukurlah sudah selesai juga akhirnya
"Unch, gemes banget liat anak kucing itu","(Ekspresi gemas), lucu sekali melihat anak kucing itu"
WDYT tentang film yang baru rilis?,Bagaimana pendapatmu tentang film yang baru rilis?
"XOXO, dari penggemar rahasiamu","Cium dan peluk, dari penggemar rahasiamu"
"Yaudin, kalo emang maunya gitu","Ya sudah, kalau memang maunya begitu"
"Zzz, ngantuk banget abis kerja seharian","(Mengantuk), ngantuk sekali setelah kerja seharian"
"Aih, kaget gw tiba-tiba muncul","Aduh, kaget saya tiba-tiba muncul"
"Be lyke, ""Kok bisa sih?""","Seperti, ""Kok bisa sih?"""
Cans banget pemandangannya dari atas sini,Cantik sekali pemandangannya dari atas sini
"Duh, malesin banget kalo udah macet gini","Aduh, menyebalkan sekali kalau sudah macet begini"
"Eaa, akhirnya dapet juga yang dicari","(Ekspresi senang), akhirnya dapat juga yang dicari"
"Fiks no debat, ini yang paling enak","Pasti tidak ada perdebatan, ini yang paling enak"
"Gelaseh, dia bisa lari sekenceng itu","Gila sih, dia bisa lari secepat itu"
"Hadeuh, pusing pala barbie mikirinnya","Aduh, pusing kepala memikirkannya"
"Idih, amit-amit jangan sampe kejadian","Ih, jangan sampai kejadian"
"Jirr, keren banget skill main gitarnya","(Ekspresi kagum), keren sekali kemampuan bermain gitarnya"
Kzl bat gw nungguin dari tadi,Kesal sekali saya menunggu dari tadi
Lopyu pul buat kalian semua,Cinta penuh untuk kalian semua
"Mantap surantap, idenya boleh juga","Mantap sekali, idenya boleh juga"
"No komen ah, takut salah ngomong","Tidak mau berkomentar, takut salah bicara"
"O aja ya kan, gak usah dipikirin","Ya saja ya kan, tidak usah dipikirkan"
"Pusing pala gw, banyak banget tugasnya","Pusing kepalaku, banyak sekali tugasnya"
Qtime sama keluarga itu penting banget,Waktu berkualitas bersama keluarga itu penting sekali
Rungsing banget nih pikiran lagi banyak masalah,Kacau sekali pikiran ini sedang banyak masalah
Sefruit doa untuk hari yang lebih baik,Sebuah doa untuk hari yang lebih baik
Tepar banget abis olahraga berat,Lelah sekali setelah olahraga berat
"Uhuy, akhirnya liburan juga!","(Ekspresi gembira), akhirnya liburan juga!"
Vandai-vandai ya kamu sekarang,Pandai-pandai ya kamu sekarang
"Waw, pemandangannya sungguh menakjubkan","Wow, pemandangannya sungguh menakjubkan"
"Yok bisa yok, pasti kelar hari ini","Ayo bisa ayo, pasti selesai hari ini"
Gemush liat tingkahnya,Gemas melihat tingkahnya
"Healing dulu guys, biar fresh lagi","Memulihkan diri dulu teman-teman, agar segar lagi"
Insecure parah kalo liat dia,Sangat tidak percaya diri kalau melihat dia
Japri aja kalo ada yang mau ditanyain,Kirim pesan pribadi saja kalau ada yang mau ditanyakan
Kicep gak bisa jawab pas ditanya,Terdiam tidak bisa menjawab saat ditanya
"Mabar kuy, bosen nih di rumah aja","Main bareng yuk, bosan nih di rumah saja"
"Ngab, bagi info loker dong","Bang, bagi info lowongan kerja dong"
"OTW jemput lo, jangan ngaret ya","Sedang dalam perjalanan menjemputmu, jangan terlambat ya"
"PHP mulu, kapan seriusnya?","Memberi harapan palsu terus, kapan seriusnya?"
Relate banget sama apa yang lo rasain,Sangat mengerti dengan apa yang kamu rasakan
"Santuy aja, semua pasti ada jalannya","Santai saja, semua pasti ada jalannya"
Spill tipis-tipis dong gosipnya,Bocorkan sedikit dong gosipnya
"TBL TBL TBL, serem banget filmnya","Takut sekali Loh, seram sekali filmnya"
"YGY, jangan lupa bahagia hari ini","Ya Teman-teman Ya, jangan lupa bahagia hari ini"
Cringe parah liat kelakuan dia di panggung,Sangat memalukan/aneh melihat kelakuannya di panggung
"Harganya gak ngotak, mahal bener!","Harganya tidak masuk akal, mahal sekali!"
"Ini HP spek dewa, game apa aja libas","Ini ponsel spesifikasi tinggi, permainan apa saja lancar"
"Ngokeylah, kita ketemu di tempat biasa aja","Baiklah, kita bertemu di tempat biasa saja"
Akhirnya nemu temen yang sefrekuensi,Akhirnya menemukan teman yang sepemahaman/sejalan
Naik tangga ke lantai lima bikin mengcapek,Naik tangga ke lantai lima membuat lelah
Denger kabar itu jadi ikutan mengsad,Mendengar kabar itu jadi ikut sedih
Idemu kali ini bener-bener menggokil!,Idemu kali ini benar-benar luar biasa/gila!
Persahabatan kita tuh bestie goals banget,Persahabatan kita itu impian persahabatan sekali
Gayanya emang agak laen dari yang lain,Gayanya memang agak berbeda dari yang lain
"Spill sefruit info dong, jangan pelit-pelit","Beritahu sebuah informasi dong, jangan pelit-pelit"
"Lagi asik nonton, eh listriknya mati, chuaks!","Sedang asyik menonton, eh listriknya mati, sial!"
Bajunya lucu tapi warnanya random pisan,Bajunya lucu tapi warnanya acak sekali
"Dia tuh nolep akut, jarang banget keluar rumah","Dia itu penyendiri akut, jarang sekali keluar rumah"
"Liat cicak terbang, TBL parah!","Melihat cicak terbang, takut sekali!"
Halu tingkat dewa pengen liburan ke Swiss,Berkhayal tingkat tinggi ingin liburan ke Swiss
Makan enak di malam minggu itu healing no debat,Makan enak di malam Minggu itu pemulihan diri tanpa perdebatan
Anak kucingnya bikin mleyot maksimal saking lucunya,Anak kucingnya membuat lemas maksimal saking lucunya
Dengerin jokes bapak-bapak bikin bengek brutal,Mendengarkan lelucon bapak-bapak membuat sesak napas brutal
Kalo ada diskonan emang kudu gercep satset,Kalau ada diskon memang harus bergerak cepat dan efisien
"Daripada gabut, mending kiwir-kiwir di taman","Daripada bosan, lebih baik bersantai tanpa tujuan di taman"
Bundadari komplek kita emang paling baik hati,Ibu peri di komplek kita memang paling baik hati
Ngabrut seada-adanya pas nonton komedi itu,Tertawa terbahak-bahak sebisanya saat menonton komedi itu
Hari ini resmi jadi magerday sedunia buatku,Hari ini resmi jadi hari bermalas-malasan sedunia untukku
Netizen salty berjamaah di kolom komentar,Warganet kesal/nyinyir bersama-sama di kolom komentar
Itu anak pansos ke siapa lagi coba sekarang?,Anak itu mencari perhatian dari siapa lagi coba sekarang?
Komuk ternistakan pas salah manggil orang,Ekspresi wajah memalukan saat salah memanggil orang
Monmaapkeun ya kalo ada salah kata dari saiia,Mohon maafkan ya kalau ada salah kata dariku
Tengkyu very much atas semua bantuannya,Terima kasih banyak atas semua bantuannya
GWS for your heart yang lagi ambyar,Semoga lekas sembuh untuk hatimu yang sedang hancur
"HBD WYATB GBU, semoga makin sukses selalu!","Selamat Ulang Tahun, Semoga Semua yang Terbaik Untukmu, Tuhan Memberkati, semoga makin sukses selalu!"
"SBB pisan euy, baru buka HP lagi nih","Maaf sekali baru balas, baru buka ponsel lagi nih"
Typo bertebaran di naskah pidato saya,Salah ketik tersebar di naskah pidato saya
Maafkan noob saiyah yang banyak bertanya,Maafkan saya yang pemula ini yang banyak bertanya
Dia sih pro abis dah pokoknya kalo soal IT,Dia sih profesional sekali pokoknya kalau soal TI
"Yuk mabar till drop, jangan ada yang AFK","Ayo main bareng sampai lelah, jangan ada yang meninggalkan permainan"
Para ngabers santuy lagi pada sunmori,Para pengendara motor santai sedang melakukan perjalanan Minggu pagi
